name,field_location_longitude,field_location_latitude
Ghawr Faifa,35.4504964,30.93630764
Ghawr Safi,35.46899262,31.01773468
Rabbah,35.7382014,31.27157954
Hmood,35.79703485,31.2890999
Demnah,35.70442662,31.293425
Yaroot,35.72596726,31.29583395
Smakiyyeh,35.79577606,31.30626225
Qasr,35.74165687,31.31252545
Sheehan,35.74136851,31.35643886
Rawdah,35.73718174,31.25261975
Rashadeih,35.84417635,31.30789434
Jada',35.74843972,31.382887
Mes'ar,35.75312848,31.40063135
Mghayyer,35.76718836,31.4029006
Abu Trabah,35.78816848,31.40952305
Riha,35.78570495,31.41727995
Alyeh,35.77649984,31.41883141
Mowjeb,35.82461664,31.41872949
Qatraneh,36.0222357,31.21985917
Sad El-Soltani,36.0031751,31.08365584
Wadi Abyadh,36.00910345,30.96774189
Hamediyyeh,35.90373794,30.92198723
Aina,35.76841088,30.96401473
Shqaira El-Sharqiyyeh,35.79748182,30.97825938
Mhiyy,35.89297308,30.99400489
No'aymeh,35.77952889,30.99349557
That Ras,35.76460552,30.99731009
Hashemiyyeh Janoobiyyeh,35.71236255,31.0166078
Baqi'e Srarah,35.67715139,31.015864
Esrarah,35.66929434,31.01916408
Jwair,35.69103265,31.02277419
Majra,35.68192656,31.02895071
Mjaidel,35.65801843,31.02863119
Ejhara,35.65788119,31.03418114
Hartheyyeh,35.68945089,31.04668507
Manshiyyet El-Mazar,35.68246371,31.04759014
Isawaiyyeh,35.65215071,31.06274146
Omqah,35.70160344,31.05528827
Tayybeh,35.60445345,31.05045303
Jozeh,35.66744115,31.05622887
Sool,35.72758167,31.05930532
Dabbakeh,35.655382,31.06127012
Mazar Janoobee,35.7011472,31.06734203
Eraq,35.64374292,31.09151573
Mo'tah,35.71137694,31.09404974
Hadbeh,35.71330767,31.05814786
Khokha,35.70651955,31.00127573
Shariefeh,35.6495057,31.03411598
Shqaira El-Gharbiyyeh,35.77952542,30.98530762
Talbiyyeh,35.65165027,31.02867488
Um El-Ghozlan,35.66982778,31.03021708
Um El-Khanazeer,35.66234101,31.01329316
Um El-Yanabi'e,35.65347523,31.0094113
Dabbeh,35.69957994,31.01222227
Dahriyyeh,35.6454723,31.02989476
