name,field_location_longitude,field_location_latitude
Rawdat An Nar,35.27,30.125
Raas An Naqb,35.383,30.3
Al Amiriyah,36.1,31.575
Umm Mathla,35.295,30.462
Rujm Ash Shumus,35.623,31.211
Al Mara3ah,35.5,31.267
Khirbat Al Qunaytirah,35.546,31.331
Qinan Al Mintar,35.667,31.383
Arqib Fuqu3,35.576,31.421
Rujm Ghunaym,35.817,31.317
Ghawr Al Hadithah,35.527,31.304
Khirbat Ash Shaykh Issa,35.467,31.033
Safi,35.465,31.036
Jibal Samrat Qunayy,35.533,31.093
Al Mudayyinah,35.9,31.583
Khirbat Az Zaqibah,35.725,31.31
Nasib,35.76,31.339
Ghzzur,35.821,31.349
Jadaat Al Jubur,35.749,31.364
Khirbat Furaywan,35.742,31.404
Ibharmalah,35.755,31.418
Al Furayn,35.967,30.933
Rujm Abu Al Hisani,35.936,30.939
Rujm Khashm As Sirah,35.848,31.065
Qasr At Tamrah,35.871,31.102
Rujm Ash Sharif,35.805,31.168
Ath Thamaail,35.87,31.18
Wadi Suaaydah,35.893,31.398
Wadi Al Balu3,35.832,31.417
Qusur Rishan,35.928,31.28
Khawkhah,35.683,31.017
Al Masmar,35.833,31
Al Madabah,35.698,31.01
As Sa3adah,35.802,31.923
Ad Dabab,35.635,31.037
Khirbat Al Mudawwarah,35.655,31.042
Umm Sawwanah,35.667,31.044
Al Humrah,35.567,31.05
Al Batraa,35.783,31.117
Khirbat al Basiliyah,35.677,31.059
Al Amiriyah,35.713,32.291
Bayt Shahm,35.618,31.076
Khirbat Umm Al qtat,35.667,31.082
Khirbat Mishraqa,35.662,31.089
Al Mashhad,35.709,31.09
Nessar,35.8,31.096
Khirbat Tadun,35.726,31.322
Alaqan,35.646,31.142
Al Iqtaniyah,35.617,31.183
Khirbat Al Qashab,35.629,31.19
Mihna,35.695,31.122
Khirbat Shih7an,35.737,31.377
Khirbat Umm A3landah,35.735,31.087
Nushaynish,35.76,31.088
An Nukhaylah,35.717,31.133
Abu Ash Shahm,35.75,31.133
Khirbat An Naqqaz,35.705,31.154
Muhafazat Al Karak,35.75,31.167
Umm Rummana,35.688,31.169
Khirbat Al Qurayn,35.71,31.17
Zahrat Al Mataris,35.701,31.174
Ath Thallajah,35.701,31.177
Khirbat Abu Hamid,35.712,31.178
Al Abbasiyah,35.687,31.179
Qir Moav,35.7,31.182
Abu Hammur,35.736,31.182
Rujm Al Absi,35.802,31.217
Salah Ad Din,35.817,31.233
Umm Kariyah,35.767,31.25
Al Hudayb,35.667,31.267
Rujm ash Shumaysani,35.878,31.977
Siran,35.867,32.017
Al Dier,35.433,30.333
Khirbat Inb Awaf,35.852,32.03
Umm Zuwaytinah,35.888,32.033
Khirbat Yajuz,35.917,32.033
Kawm Yajuz,35.911,32.037
Khirbat Abu Murhaf,35.867,32.046
Tab Kiraa3,35.888,32.053
Uyun Adh Dhiab,35.913,32.071
Khirbat Badran,35.906,32.077
Al Thughrah,35.618,31.534
Muhafazat Amman,36.333,31.584
Umm Rusum,35.88,31.626
Al Harbaj,35.833,31.667
Barazin,35.872,31.789
Zabaair Al Qastal,35.93,31.738
Al Yadudah,35.913,31.846
Al Umayri,35.893,31.87
Iskandar,35.967,31.883
Al Bunayyat Ash Shamaliyah,35.893,31.893
Ar Rajib,35.982,31.896
Al Qartu3iyah,35.963,31.991
An Nuwayjis,35.947,31.991
Urqub Sabha,35.979,31.995
Qasr Al Kharanah,36.463,31.729
Qasr Mushash,36.318,31.813
Al Qutnah,36.238,31.826
Tall Al Matabi3,35.685,31.842
Sha3annab,35.767,31.85
Umm Rummanah,35.867,31.867
Ash Shumaysani,35.917,31.967
Wadi Amman,35.967,31.967
Wadi Abdun,35.967,31.967
Urjan Al Gharbiyah,35.899,31.982
Ar Riwaq,35.925,31.989
Industrial Estate,36.022,31.856
Ulayya,36.106,31.882
Ad Da3jaa,36.083,31.883
Rujm Za3in,36.126,31.884
Qa3afur,36.133,31.85
Qasr al Madunah,36.095,31.914
Es Sur,35.717,31.9
Sakkaa,35.85,31.9
Al Bahhath Ash Shamali,35.8,31.917
Furaydis,35.617,30.767
Umm Nuwarah,35.797,31.932
As Sira,35.817,31.95
Suwayfiyah,35.867,31.95
Ar Rawnaq,35.852,31.95
Bilal,35.798,31.963
Ar Rabahiyah,35.814,31.972
Qufayqif,35.735,30.809
Iskan Sharikat Al Fusfat,35.978,30.852
Qal3at al Qasa,35.936,30.867
Khirbat Al Musalla,35.674,30.759
Khirbat Al Baydaa3,35.594,30.775
Al Hannanah,35.596,30.789
Khirbat Al Khadraa,35.643,30.796
Khirbat Qasr Ad Dayr,35.589,30.797
Khirbat Khaniq Al Lawz,35.668,30.825
Khirbat Al Mayasir,35.595,30.828
Qasr at Tilah,35.411,30.83
Shary,35.633,30.833
Khirbat An Nasraniyah,35.686,30.833
Wadi Al Qurr,35.476,30.849
Abu Shawkah,35.667,30.85
Khirbat Butaynah,35.632,30.862
Salakhid,35.667,30.867
Khirbat Ash Shamaail,35.655,30.881
Majadil,35.64,30.881
Wadi Khunayzirah,35.433,30.882
Khirbat Al Mushimmin,35.66,30.893
Al Maqir,35.633,30.9
Al Fawwarah,35.329,30.566
Sudur,35.617,30.917
Jabrunah,35.667,30.917
Bahlul,35.649,30.923
Makhfar al La3ban,35.717,30.95
Khirbat Sabrah,35.617,30.967
At Talaai`,35.648,30.639
Al Khiss,35.724,31.562
Ghawr Farah,35.588,32.368
Umm Zu`rurah,35.591,30.721
Sayl Ray`a,35.625,30.728
Muhafazat at Tafilah,35.583,30.75
Ghawr Al Wahadinah,35.583,32.283
Ar Rashadiyah,35.63,30.703
Ghawr al Arba3in,35.573,32.416
Ash Shaykh Muhammad,35.583,32.417
Khirbat Al Hammah,35.598,32.47
Al Harawiyah,35.581,32.499
Khirbat Ash Shaykh Ulayyan,35.583,32.517
Wadi Al Mawjib,35.85,31.383
Khirbat Iraq Ar Rashdan,35.609,32.518
Qulay3at,35.602,32.527
Al 3zziyah,35.617,32.533
Khirbat Furayqi3,35.615,32.575
Tall Musa,35.583,32.583
Al Madrasah,35.603,32.587
Khirbat al Khirwaa,35.595,32.603
Ma3ad,35.612,32.605
Khirbat Al Qattaf,35.574,32.613
Khirbat Ash Shaykh Hussien,35.6,32.617
Al Mughayrifat,35.618,32.626
Naharayim,35.583,32.633
Khirbat Yisna,35.664,32.416
Zahrat Al Jud,35.633,32.417
Khirbat Miryamin,35.635,32.426
Khirbat Sir,35.683,32.433
Khirbat Nassar,35.685,32.434
Khirbat Sartaba,35.632,32.442
Khirbat At Tantur,35.631,32.446
Khirbat Ad Duwayr,35.667,32.45
Khirbat Abu Al Khass,35.628,32.455
Khirbat Dayr Al 3sal,35.655,32.456
Khirbat Us3us,35.732,32.457
Tall Az Zu3rur,35.645,32.457
Zahrat Ad Dimnah,35.68,32.459
Tall Al Husayn,35.685,32.463
Khirbat Al Jalamah,35.665,32.471
Khirbat Manwah,35.672,32.477
Raas Al Jurn,35.633,32.483
Khirbat Zambut Mulayk,35.848,32.441
Tall Abu Al Fakhkhar,35.648,32.521
Wa3rat Al Mislaq,35.773,32.427
Wa3rat An Namlah,35.764,32.431
Khirbat Darayya,35.857,32.447
Khirbat Ad Duwayr,35.812,32.475
Khirbat 3yatah,35.789,32.492
Khirbat An Naqi3,35.767,32.5
Muhafaza Irbid,35.833,32.5
Khirbat Umm An Naml,35.743,32.559
Dawgarah,35.717,32.6
Tall Ar Ru3us,35.657,32.55
Khirbat Sibya,35.7,32.533
Ramah,35.642,31.565
Id3an,35.737,32.635
Khirbat Id3an,35.733,32.65
Mushayrifah,35.861,32.651
Balad Ash Shaykh,35.732,32.659
Khirbat Umm Al 3imad,35.87,32.681
Al Kursi,35.708,32.683
Qaraqush,35.871,32.706
Khirbat Ya3mun,35.911,32.396
Khirbat Tumayrah,35.996,32.403
Khirbat Dawhalah,35.879,32.404
Khirbat Ad Duway7ilah,35.864,32.413
Khirbat Jami3 An Nuway7ir,35.933,32.433
Khirbat Jarayya,35.854,32.437
Khirbat Zabdah,35.9,32.45
Khirbat Ad Dahmaa,35.945,32.454
Khirbat Umm Al Abar,35.948,32.476
Tabaqat Nasrah,35.863,32.73
Khirbat Jarmayah,35.845,32.484
Qasr Rakisah,35.867,32.487
Khirbat Rakisah,35.86,32.49
Khirbat Al Kawm,35.833,32.517
Zabdah,35.834,32.541
Abu Az Zayt,35.824,32.547
Al Barihah,35.831,32.568
Tall As Sabbah,35.942,32.593
Khirbat Ar Rumaythah,36.014,32.499
Ar Rabah,36.033,32.5
Khirbat Awash,35.998,32.481
An Naq3,36.05,32.567
Ad Dahdah,36,32.583
Maharib Ad Dibs,36.017,32.583
As Sufayri,36.033,32.583
Khirbat Al Huwayrah,36.033,32.6
Rujm Ash Shubayl,35.842,32.142
Jabal Abu Zaynah,35.857,32.168
Jabal Al 3rdah,35.843,32.188
Jabal Al Ju3aydi,35.884,32.207
Iraq At Tahunah,35.687,32.196
Khirbat Umm Tall,35.717,32.2
Khirbat As Sawari,35.852,32.201
Ayn As Safar,35.828,32.227
Khirbat Ad Dala3i,35.824,32.244
Dier Ajlun,35.847,32.246
Dibbin National Park,35.833,32.25
Khirbat Al Mishmas,35.799,32.256
Khirbat As Safsafah,35.786,32.262
Khirbat As Suwayrat,35.873,32.214
Al Makhbath,35.915,32.234
Rujm Al Qarrami,35.954,32.251
Khirbat Al Mata7ah,35.946,32.255
Khirbat Umm Qantarah Ash Sharqiyah,35.951,32.26
Khirbat Siqya,35.899,32.262
Khirbat Qirfill,35.911,32.266
Khirbat Ma3afir,35.912,32.273
Abu Al 3zam,35.551,30.16
Musaymirah,35.483,30.167
Wuhaydah,35.6,30.167
Al Juththah,35.579,30.179
Ar Ruwayhi,35.513,30.188
Raas Ayn Al sharah,35.533,30.2
Umm Al Fats,35.527,30.294
Dusil,35.517,30.133
